Metric,Value
CV MAE,1.0450998865883827
CV RMSE,1.4555630782696687
CV R2,0.8798928262513729
2024 MAE,1.2163070597730299
2024 RMSE,1.7472408146491731
2024 R2,0.8509312313319214
Accuracy Percentage,75.18427518427518
